,Moyne - West,Research - North Warrandyte,Murrumbeena,Bayswater North,Kingsbury,Albert Park,Brunswick East,Malvern - Glen Iris,Brighton (Vic.),Dingley Village,Sandringham - Black Rock,year
rent_2017,1270.2,735.0,590.8333333333334,568.5555555555555,393.46153846153845,863.3333333333334,606.6666666666666,709.5454545454545,903.75,552.5,613.3333333333334,2017
rent_2018,321.47058823529414,528.25,524.4166666666666,453.3333333333333,360.9375,487.5,403.75,479.1304347826087,616.25,456.6666666666667,570.0,2018
rent_2019,329.4117647058824,596.1764705882352,608.75,435.5263157894737,408.2352941176471,683.5714285714286,473.84615384615387,517.24,671.25,472.5,569.0625,2019
rent_2020,390.8,551.3888888888889,524.5833333333334,452.85714285714283,373.8888888888889,671.875,512.7272727272727,538.59375,604.0,520.8333333333334,546.9230769230769,2020
rent_2021,402.1212121212121,580.0,480.0,466.53846153846155,395.35714285714283,729.6875,440.45454545454544,702.0,592.5,546.4285714285714,636.5,2021
rent_2022,376.6666666666667,385.0,454.125,477.77777777777777,313.8974358974359,643.3870967741935,496.8666666666667,569.8305084745763,745.925,481.6666666666667,524.8333333333334,2022
rent_2023,376.6666666666667,385.0,454.125,477.77777777777777,313.8974358974359,643.3870967741935,496.8666666666667,569.8305084745763,745.925,481.6666666666667,524.8333333333334,2023
rent_2024,376.6666666666667,385.0,454.125,477.77777777777777,313.8974358974359,643.3870967741935,496.8666666666667,569.8305084745763,745.925,481.6666666666667,524.8333333333334,2024
rent_2025,376.6666666666667,385.0,454.125,477.77777777777777,313.8974358974359,643.3870967741935,496.8666666666667,569.8305084745763,745.925,481.6666666666667,524.8333333333334,2025
